name,org,category,oss_triangle,license,scale,modalities,embodiment,task_type,format_access,cpu_feasibility,udos_fit,source_url,evidence,source_class
GR-1 / GR-2(含 GR00T 区分),清华大学 / 字节跳动 Seed(GR-1/GR-2);NVIDIA GR00T 为另一条线,视频-语言-动作联合生成(世界模型式策略),"代码:部分(GR-1/GR-2 主要为论文+项目页,权重未完整开放);GR00T N1.x 代码与权重开源(github.com/NVIDIA/Isaac-GR00T)","GR-1/GR-2:未明确开源 license;GR00T N1.x:代码 Apache-2.0,N1.5 权重 NVIDIA 非商用,N1.6/N1.7 商用授权","GR-1:GPT 式,800k Ego4D 视频;GR-2:38M 网络视频,>50B tokens,100+ 真机任务;GR00T N1.5/N1.6 ~3B",RGB+语言+本体状态;联合预测未来视频与动作,操作臂;GR00T 面向人形(GR-1 人形),视频预训练 + 操作策略;联合想象未来帧,GR-1/GR-2:未公开权重;GR00T:PyTorch/HF,GR-1/GR-2 仅论文/架构参考;GR00T 3B 仅架构参考,高——'动作+未来帧联合预测'直接对照 world_model 的 latent imagine 与 wm_events;GR00T 的大脑-小脑分层(推理 VLM + DiT 动作头)对照 neural_control 分层,https://gr1-manipulation.github.io/ ; https://gr2-manipulation.github.io/ ; https://arxiv.org/html/2410.06158v1 ; https://github.com/NVIDIA/Isaac-GR00T,论文/项目页一手(GR-1/GR-2 权重 [UNVERIFIED/未开放]),模型库
Diffusion Policy,Stanford / Columbia(Cheng Chi 等),动作生成(扩散策略),"代码:是(MIT, github.com/real-stanford/diffusion_policy);权重:基准 checkpoint 随 repo;数据:PushT/RoboMimic 等示例",MIT,"小模型(CNN/Transformer 骨干,非大基座);action chunk 16-32",RGB(多相机)+本体状态;扩散生成连续动作块,通用机械臂/ALOHA,多模态动作分布 BC;PushT/RoboMimic/真机,PyTorch;已集成进 LeRobot,"高——小模型,CPU 可跑前向与 PushT 小 demo(慢);是最易在 CPU 通读并复现核心逻辑的动作生成基线",高——action chunking + 扩散去噪是 wla flow 解码器的直接前身;建议作为 wla 动作生成模块的最小可读参考实现,https://github.com/real-stanford/diffusion_policy ; https://arxiv.org/abs/2303.04137,官方一手,模型库
"ACT (Action Chunking with Transformers, ALOHA)",Stanford(Tony Zhao 等),动作生成(CVAE + Transformer 分块),"代码:是(MIT, github.com/tonyzhaozh/act);权重:示例;硬件:ALOHA 开源",MIT,小模型 CVAE;action chunk k=~50;ALOHA 双臂,RGB(顶+腕相机)+本体状态;CVAE 潜变量 z 建模多模态动作块,ALOHA 双臂 / Mobile ALOHA,双臂操作 BC;多模态动作分布,PyTorch,"高——小模型,CPU 可跑前向/小 demo;CVAE+chunk 逻辑易通读",高——CVAE 对多模态动作建模 + temporal ensembling 直接对照 wla 的动作多峰分布与 change-mask;是 wla 最经典轻量参照,https://github.com/tonyzhaozh/act ; https://aiwiki.ai/wiki/aloha_robot,官方一手,模型库
VIMA,Stanford(李飞飞等),多模态 prompt 通用操作策略,代码:是(github.com/vimalabs/VIMA);权重:2M/20M/200M;数据:VIMA-Bench 合成数据,MIT,2M / 20M / 200M 参数;VIMA-Bench 多模态 prompt,RGB + 多模态 prompt(文本/图像/视频);掩码感知;T5 语言,仿真操作臂(MetaWorld 风格),多模态 prompt 通用操作,PyTorch;VIMA-Bench 仿真,中:2M/20M 小模型 CPU 可跑;200M 偏慢,中——多模态 prompt 组装(in-context 多模态样本)对照 icm 上下文记忆与 reasoning_router 的条件注入,https://vimalabs.github.io/ ; https://github.com/vimalabs/VIMA ; https://arxiv.org/abs/2210.03094,官方一手,模型库
V-JEPA / V-JEPA 2 (Meta),Meta FAIR,世界模型 / 自监督视频预测(JEPA),"代码:是(github.com/facebookresearch/vjepa2,主 MIT,少量 Apache);权重:是(HF ViT-L/H/g);数据:否(1M+ 小时网络视频未重发)",代码 MIT;权重 CC BY-NC 4.0(研究/非商用),"V-JEPA 1 约 632M;V-JEPA 2 ViT-L/H/g,十亿级;1M+ 小时视频",RGB 视频;action-free + action-conditioned 预测器(ViT-g + Cosmos latent diffusion-7B),本体无关视觉表征;可接机器人规划,表征/预测/规划;视频动作条件想象,PyTorch;HF Hub,低(ViT-g 权重仅架构参考;代码可通读 latent 预测器设计),高——JEPA 在隐空间预测未来(不重建像素)正是 world_model latent imagine 的范式对照;action-conditioned predictor 对照 wm_events;注意权重非商用,https://github.com/facebookresearch/vjepa2 ; https://arxiv.org/html/2506.09985v1 ; https://aiwiki.ai/wiki/v_jepa_2,官方一手,模型库
NVIDIA Cosmos,NVIDIA,世界基础模型(WFM),"代码:是(github.com/nvidia/cosmos, cosmos-framework);权重:是(HF/NVIDIA NGC collection);数据:是(Cosmos 3 附合成数据集子集)",Cosmos 1.x:NVIDIA Open Model License(可商用);Cosmos 3:Linux Foundation OpenMDW-1.1,Cosmos-Predict1/Transfer1/Diffusion 7B 级;Cosmos 3 全模态;视频 tokenizer continuous tokenizer,RGB 视频(扩散世界生成)+ 动作条件;文本/图像/视频/音频/动作全模态(Cosmos 3),面向 AV/机器人世界生成与后训练,世界生成/预测/迁移;合成训练环境,PyTorch;NVIDIA NeMo;HF safetensors,低(7B+ 扩散仅架构参考;tokenizer/latent 设计可读),"中——连续视频 tokenizer 与 latent world generation 对照 world_model/wm_conservation;体量太大,仅作架构与 tokenizer 参考",https://github.com/nvidia/cosmos ; https://www.nvidia.com/en-us/ai/cosmos/ ; https://arxiv.org/pdf/2606.02800v4,官方一手,模型库
Dreamer / DreamerV3,Danijar Hafner 等(Northwestern / Google),世界模型 + 想象训练 actor-critic,"代码:是(MIT, github.com/danijar/dreamerv3, pip install dreamerv3);权重:否(算法实现,无固定发布权重,按域训练)",MIT,RSSM 潜空间世界模型;12M→400M 可调;单 V100 可训,RGB/低维观测 + 动作;categorical 潜状态;预测 reward/discount,通用 RL 域(Atari/操控/连续控制),在想象潜轨迹上训练 actor-critic,纯 PyTorch/TF(原版 JAX/TF);自包含,"高——代码紧凑自包含,CPU 可跑小域(Mountain Car/Pendulum)最小 demo;RSSM 想象推演逻辑最易通读",高——RSSM '在潜世界模型里 rollout 想象轨迹再训策略'是 world_model latent imagine + neural_control + closed_loop 的最直接可读参照;强烈建议精读,https://github.com/danijar/dreamerv3 ; https://arxiv.org/abs/2301.04104 ; https://pypi.org/project/dreamerv3/,官方一手,模型库
Genie (DeepMind),Google DeepMind,生成式交互环境(世界模型),代码:否;权重:否(论文明确不发布 checkpoint 与训练数据);仅有论文/演示,无(未开源),11B 参数;约 30k 小时网络视频;160x90@1FPS;latent action model,单图/文本提示 → 动作可控 2D 世界视频;latent action 自监督,虚拟游戏世界(非实体机器人),从单图生成可交互世界,不可得;社区复现 GenieRedux,无权重可跑;仅论文架构参考(latent action model),低(纯架构参考)——latent action model(从无标注视频自监督抽取动作)思路可对照 wla 的动作隐变量与 icm,https://deepmind.google/research/publications/genie-generative-interactive-environments/ ; https://arxiv.org/pdf/2402.15391.pdf,"论文官方明确不发布——[未开源,已核实]",模型库
PhysBrain 1.5 (DeepCybo 深度机智),DeepCybo(深度机智),物理基础模型(VLM→物理:理解+动作+未来状态),"代码:是(EvalKit github.com/DeepCybo-PhysAI/PhysBrainEvalKit);权重:是(HF collection DeepCybo/physbrain-15,2B 与 8B);数据:预训练用人类交互视频+SFT 混合,本体数据集未完整重发","[UNVERIFIED——需以 HF collection 各模型卡为准;基于 Qwen3-VL-Instruct-8B,可能继承其 license]","2B / 8B(基于 Qwen3-VL-Instruct-8B 扩展词表,新增动作与视觉状态 token);未来状态语料 1.2M 样本","RGB + 深度(metric z-depth,MoGe-2)+ 机器人 mask + 语言 + 末端运动轨迹;自回归 next-token 统一编码",Franka 等操作臂;本体元数据+动作频率,28 项具身理解基准(8B 均分 72.5)+ 末端轨迹生成 + 未来场景预测(RGB/depth/mask),HF ms-swift/Megatron;HF collection,低(2B/8B 仅架构参考;EvalKit 评测脚本与数据 schema 可读),高——'VLM 统一编码语言+末端动作+未来 RGB/depth/mask'正是 world_model(wm_conservation 未来状态预测)+ wla(动作 token 化)+ spatial(depth/occupancy)三合一的最贴近参照;建议重点读其 token 化与未来状态对齐设计,https://arxiv.org/pdf/2609.14973 ; https://huggingface.co/collections/DeepCybo/physbrain-15 ; https://github.com/DeepCybo-PhysAI/PhysBrainEvalKit,论文+HF collection 一手(license [UNVERIFIED]),模型库
UnifoLM-WLA-1.0 (Unitree 宇树),Unitree Robotics 宇树科技,人形 VLA / 世界-动作模型,"代码:是(github.com/unitreerobotics/unifolm-world-model-action 等);权重:是(HF unitreerobotics,UnifoLM-WMA-0-Base 等);数据:部分(Z1/G1 若干数据集上 HF)",[UNVERIFIED——以 GitHub/HF 仓库 LICENSE 为准;2026-09-10 宣布全面开源],"6B 参数(官方口径:UnifoLM-ER-1-4B 推理主干 + MMDiT flow 动作专家;约 2,500 小时真机数据,5M+ embodied reasoning 样本,单模型 64 任务)",RGB + 语言 + 本体状态;MMDiT flow 动作专家;空间感知,Unitree G1 人形 / Z1 臂,桌面操作/行走/搬运等 64 任务;人形端到端,PyTorch;HF;Z1/G1 数据集,低(6B 仅架构参考;代码与数据集 schema 可读),高——'WLA'(World-model + Latent + Action)命名与 flow 动作专家直接对标 UDOS 的 wla/world_model;MMDiT flow 解码器对照 wla flow;务必核实其动作分词与 flow 实现,https://unigen-x.github.io/unifolm-wla.github.io/ ; https://github.com/unitreerobotics/unifolm-world-model-action ; https://www.humanoidsdaily.com/news/unitree-open-sources-unifolm-wla-1-0-to-tackle-humanoid-generalization,官方项目页+二手报道(license/权重可下性 [UNVERIFIED]),模型库
MimicDroid / DreamDojo (ICM 线),MimicDroid(arXiv:2509.09769);DreamDojo(Gao et al. 2026),从人类视频的 ICL 策略 / 动作条件世界模型,"MimicDroid:论文+[UNVERIFIED 代码];DreamDojo:论文 arXiv:2602.06949,代码[UNVERIFIED]",[UNVERIFIED],"MimicDroid:人类 play 视频做 ICL;DreamDojo:44k 小时第一人称人类视频预训练动作条件世界模型,连续 latent action(VAE 抽取)",人类 RGB 视频;连续 latent action;后训练于小量机器人数据,人形 / 操作臂,从人类视频 in-context 学习操作;OOD 泛化,"论文描述,VAE latent action",无确定权重;架构(latent action VAE)可读,高——连续 latent action 自监督(从无标注视频抽动作)直接对照 wla 的 RVQ/动作隐变量与 icm 上下文记忆;DreamDojo 的 AC-WM 对照 world_model,https://arxiv.org/pdf/2509.09769v1 ; https://arxiv.org/html/2602.06949v1 ; https://davidlxu.github.io/posts/2026/03/dreamdojo-paper-notes/,论文一手(代码/权重 [UNVERIFIED]),模型库
Skild S1,Skild AI,机器人基础模型(单视频 ICL),"代码:否;权重:否;API:否;论文:否(2026-08-25 仅博客发布,面向合作伙伴)",无(未开源),未披露;称单段演示视频即可学会最长 10 分钟任务;零样本 66% vs 9%(厂商自报),"RGB 演示视频 + 本体;in-context,不更新权重",ABB / UR / MiR 等合作本体,长程操作 ICL,不可得,无,"低(纯概念参考)——单视频 ICL 范式对照 icm 上下文记忆与 curriculum/selfplan 的零样本迁移,无可下载实现",https://www.skild.ai/blogs ; https://datanorth.ai/news/skild-ai-launches-s1 ; https://blogs.nvidia.com/blog/skild-ai-s1-physical-ai/,"官方博客+二手——[未开源,已核实无权重/API/论文]",模型库
Generalist GEN-1.5,Generalist AI,机器人基础模型(physical prompting),"代码:否;权重:否;API:否;仅研究发布,需直接合作",无(未公开),"未披露;视频/传感/语言/本体输入,30 秒记忆,100Hz 动作;1 段 3-12 秒 demo 单样本学习,微调需 1-5 分钟数据(厂商自报)",视频+传感器+语言+本体;动作轨迹 100Hz,Generalist 自有机队,单 demo 学习新任务,不可得,无,"低(纯概念参考)——'30 秒记忆窗 + 单 demo 条件'对照 icm 上下文记忆与 wm_events 的事件化时序,无可下载实现",https://aiwiki.ai/wiki/generalist_gen_1_5 ; https://reviewstic.com/generalist-ai-releases-gen-1-5-a-robot-foundation-model-that-learns-new-tasks-from-one-3-12-second-demo/,"二手综述——[未开源,已核实无权重/代码]",模型库
WALL-WM / WALL-OSS / WALL-SS (自变量 X-Square),自变量机器人 X-Square Robot,事件级世界模型 / 开源 VLA,代码:是(github.com/X-Square-Robot/wall-x);权重:部分(WALL-OSS VLA 权重+训练代码+部署工具已开源;WALL-WM 事件级世界模型 2026-05-29 宣布开源并公开论文;WALL-SS 2026-08 公开论文+全部代码);数据:部分,[UNVERIFIED——以 wall-x 仓库 LICENSE 为准],WALL-OSS-0.5 VLA;WALL-WM 事件级(event-centric)世界模型;WALL-SS 自回归世界模型可推演 60 秒倒水/整理,RGB + 语言 + 动作;事件级时序(非固定时间窗均匀采样),自变量自研本体/灵巧手;XRZero-G0 数据采集方案,事件级世界推演;VLA 操作,PyTorch;wall-x 仓库,低(权重仅架构参考;事件化建模代码逻辑可读),高——'事件级而非固定时间窗'直接对照 wm_events 的事件化时序与 ctm_engine 的连续时间建模;WALL-SS 虚拟预演动作对照 closed_loop/digital_twin;建议重点读 wall-x 仓库,https://github.com/X-Square-Robot/wall-x ; https://digitalmore.co/x-square-robot-open-sources-wall-wm-shifting-robot-world-modeling-from-chunks-to-events/ ; https://x2robot.com/pages/wm,官方 PR/仓库一手(license [UNVERIFIED]),模型库
CTM / ctm-imagenet (Sakana AI),Sakana AI,连续时间模型(类神经同步推理),代码:是(github.com/SakanaAI/continuous-thought-machines);权重:是(ctm-imagenet checkpoint);任务:ImageNet/CIFAR/2D maze/排序/RL,Apache-2.0,连续时间 ODE 式神经元同步;ImageNet 分类 checkpoint,图像(非机器人本体);时序连续推理,无(非机器人模型;通用架构),分类/导航/排序/RL 的连续时间推理,PyTorch;HF SakanaAI/ctm-imagenet,高——ImageNet 分类小 checkpoint 可在 CPU 跑;连续时间求解逻辑可通读,"高——CTM 的连续时间/同步推理范式直接对照 UDOS ctm_engine(连续时序模型主预测器,52191 参数);是 ctm_engine 命名与机制的最直接外部参照,建议精读其时间连续推理实现",https://github.com/SakanaAI/continuous-thought-machines ; https://huggingface.co/SakanaAI/ctm-imagenet ; https://arxiv.org/abs/2505.05522 ; https://sakana.ai/ctm/,官方一手,模型库
Doc-to-LoRA (D2L),Sakana AI,上下文内化(超网络→LoRA 适配器),代码:是(github.com/SakanaAI/doc-to-lora);checkpoint:是;479 任务 Lots-of-LoRAs,Apache-2.0,Perceiver 超网络(8 个 cross-attention block)读文档激活→一次前向生成 LoRA 适配器;内化 ~40k token 文档,文本(非机器人);将上下文压缩为小 LoRA,无(NLP 方法),即时内化文档/技能到临时适配器,PyTorch;LoRA adapter,"中——方法轻量,CPU 可理解/跑小示例;大 LLM 主干需 GPU","中——'上下文→小适配器'范式对照 icm(零梯度外挂记忆)与 self_train/self_evolution 的技能内化;虽非物理 AI,但机制可迁移到动作技能 LoRA",https://github.com/SakanaAI/doc-to-lora ; https://openreview.net/forum?id=iW1oBBO72S ; https://sakana.ai/,官方一手,模型库
Open X-Embodiment / RT-X,Google DeepMind + 21-34家研究机构联合,真实机器人数据集,"{'code': 'Apache 2.0', 'weights': 'RT-1-X/RT-2-X checkpoint 可下载', 'data': '1M+轨迹 RLDS格式, GCS托管, 实际可下', 'actual_downloadable': True}",代码 Apache 2.0; 数据按子集分发(多为 CC-BY 4.0),"1M+ 真实机器人轨迹; 22种本体; 60个子数据集; 527技能; 160,266任务; 多TB级","RGB(多视角), 部分深度, 本体状态, 自然语言, 动作(维度随本体变化)","22种(单臂~双臂~四足), 含Franka/WidowX/UR5等","通用操作, 跨本体迁移","RLDS (TensorFlow Datasets), GCS存储",可在CPU上解析元数据/schema/样本轨迹; 全量训练需GPU; 可作格式参考,"{'module': 'wla(跨本体动作分词) + PCE-Format(RLDS→PCE转换参考) + ctm_engine(多本体时序建模)', 'entry_point': 'RLDS schema → PCE-Format 字段映射; 跨本体action space对齐作wla change-mask参考', 'priority': '高', 'reason': '最大规模多本体数据集, 是wla跨本体迁移和PCE-Format标准化的核心参考'}",https://robotics-transformer-x.github.io/,"官方论文+项目页+GCS, 已验证可下载",数据库
DROID,Stanford / Google / 18家实验室联盟,真实机器人数据集,"{'code': 'Apache 2.0', 'weights': 'DROID diffusion policy checkpoint 可下载', 'data': '76K轨迹 RLDS+HDF5, GCS/HF托管, 实际可下', 'actual_downloadable': True}",数据 CC-BY 4.0; 代码 Apache 2.0,"76,000轨迹; 350小时; 564场景; 86任务; 125物体类别; RLDS~1.7TB / 原始~8.7TB",3x Zed2立体RGB-D + 手腕RGB + 语言 + 7-DoF关节,Franka Panda 单臂(标准化硬件),"桌面/家庭操作, 场景泛化",RLDS + HDF5; 也有HF/LeRobot版本,HDF5/元数据可在CPU解析; 全量训练需GPU; 样本可在CPU加载,"{'module': 'ctm_engine(时序动力学建模) + wla(动作分词参考) + build_parametric_dataset(真实数据验证参数化模型)', 'entry_point': '标准化Franka平台的高质量轨迹作ctm_engine时序预测基准; HDF5格式→PCE-Format转换参考', 'priority': '高', 'reason': '场景多样性最强的单本体数据集, 硬件标准化, 适合验证时序预测和动作分词'}",https://droid-dataset.github.io/,"官方项目页+RSS论文, 已验证GCS可下载",数据库
BridgeData V2,UC Berkeley RAIL Lab,真实机器人数据集,"{'code': '公开', 'weights': '无预训练权重(数据集为主)', 'data': '60K轨迹 JPEG格式, 实际可下', 'actual_downloadable': True}",CC-BY 4.0,"60,096轨迹(50,365遥操作+9,731脚本策略); 24环境; 13技能; ~400GB","RGB-D(Intel RealSense), 本体状态, 夹爪, 语言指令",WidowX 250 6-DoF低成本机械臂,"桌面操作, 跨机构泛化",JPEGs + 元数据; 也有RLDS版本,元数据可在CPU解析; 图像加载需内存; 可作格式参考,"{'module': 'ctm_engine(5Hz控制频率轨迹建模) + wla(低成本臂动作空间)', 'entry_point': '5Hz低频控制轨迹适合ctm_engine轻量时序建模; WidowX动作空间作wla参考', 'priority': '中', 'reason': '低成本平台代表性数据集, 频率较低适合CPU侧分析, 但单一本体'}",https://rail-berkeley.github.io/bridgedata/,"官方项目页+PMLR论文, 已验证",数据库
RH20T,清华大学等,真实机器人数据集,"{'code': '公开', 'weights': '无', 'data': '110K序列 Google Drive/百度网盘, 实际可下(需申请)', 'actual_downloadable': True}",分段: scene_0001-0005 CC-BY-SA-4.0(可商用); scene_0006-0010 CC-BY-NC-4.0(不可商用),"110,000+序列; 140+任务; 7种机械臂; 原始~40TB / 缩放版~5TB RGB ~10TB RGBD","8-10路RGBD相机, 力/力矩(100Hz), 音频, 触觉(200Hz), 语言, 动作",7种不同机械臂,"接触丰富的桌面操作, 力觉/触觉","自定义格式, Google Drive/Baidu",元数据可在CPU解析; 体量极大; 多模态力/触觉数据可轻量分析,"{'module': 'wla(多本体+力触觉动作分词) + spatial(多相机标定参考)', 'entry_point': '力/触觉模态扩展wla动作分词维度; 多相机标定参数作spatial模块参考', 'priority': '中', 'reason': '力/触觉多模态独特, 但分段license限制商用, 体量过大'}",https://rh20t.github.io/,"官方项目页+arXiv论文, license分段已核实",数据库
